Complex	Index	Subunit	zScore-dis
CPX-2890	2	PDGFRA	0.419926371
CPX-2890	3	PDGFD	0.421767607
CPX-2890	1	PDGFRB	5.786273369
CPX-2891	2	PDGFC	0.120282371
CPX-2891	1	PDGFRB	4.92830339
CPX-2892	4	PDGFRA	0.467951832
CPX-2892	1	PDGFB	2.266542417
CPX-2892	2	PDGFA	2.656746333
CPX-2892	3	PDGFRB	6.35778517
CPX-2919	3	CPX-2919	0
CPX-2919	1	RABGGTB	4.898979486
CPX-2934	2	HBG2	NA
CPX-2934	3	CPX-2934	NA
CPX-294	3	GRIN2A	0
CPX-294	4	GRIN2B	0
CPX-294	5	CPX-294	0
CPX-294	1	GRIN1	6.32455532
CPX-2951	2	GABRB3	NA
CPX-2951	3	GABRA6	NA
CPX-2951	4	CPX-2951	NA
CPX-2952	3	GABRA6	0
CPX-2952	1	GABRD	0
CPX-2952	2	GABRB2	5.656854249
CPX-2953	3	GABRA4	0
CPX-2953	1	GABRD	0
CPX-2953	2	GABRB2	5.656854249
CPX-2954	2	GABRB3	NA
CPX-2954	3	GABRA4	NA
CPX-2954	4	CPX-2954	NA
CPX-2955	1	GABBR2	0
